,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube"
,"3"":Individual Pack:2217-12","Chocolate Truffle Cheesecake - Single Serve (12/cs)",15.38,"10603812022177","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2217-6","Chocolate Truffle Cheesecake - Single Serve (6/cs)",9.00,"20603812022174","2","6 / 4 oz",".14"
,"3"":Individual Pack:2218-1","Egg Nog Cheesecake - Single Serve",1.50,"603812022187",".25","1 / 4 oz",
,"3"":Individual Pack:2218-12","Egg Nog Cheesecake - Single Serve (12/cs)",15.38,"10603812022184","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2218-6","Egg Nog Cheesecake - Single Serve (6/cs)",9.00,"20603812022181","2","6 / 4 oz",".14"
,"3"":Individual Pack:2221-12","Strawberry Cheesecake - Single Serve (12/cs)",15.38,"10603812022214","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2221-6","Strawberry Cheesecake - Single Serve (6/cs)",9.00,"20603812022211","2","6 / 4 oz",".14"
,"3"":Individual Pack:2223-1","Espresso Cheesecake - Single Serve",1.50,"603812022231",".25","1 / 4 oz",
,"3"":Individual Pack:2223-12","Espresso Cheesecake - Single Serve (12/cs)",15.38,"10603812022238","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2225-1","Cranberry Orange Walnut Cheesecake - Single Serve",1.50,"603812022255",".25","1 / 4 oz",
,"3"":Individual Pack:2225-12","Cranberry Orange Walnut Cheesecake - Single Serve (12/cs)",15.38,"10603812022252","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2225-6","Cranberry Orange Walnut Cheesecake - Single Serve (6/cs)",9.00,"20603812022259","2","6 / 4 oz",".14"
,"3"":Individual Pack:2230-1","""No Sugar Added"" New York Cheesecake - Single Serve",1.50,"603812022309",".25","1 / 4 oz",
,"3"":Individual Pack:2230-12","""No Sugar Added"" New York Cheesecake - Single Serve (12/cs)",16.30,"10603812022306","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2230-6","""No Sugar Added"" New York Cheesecake - Single Serve (6/cs)",9.00,"20603812022303","2","6 / 4 oz",".14"
,"3"":Individual Pack:2231-1","""No Sugar Added"" Chocolate Truffle Cheesecake - Single Serve",1.50,"603812022316",".25","1 / 4 oz",
,"3"":Individual Pack:2231-12","""No Sugar Added"" Chocolate Truffle Cheesecake - Single Serve (12/cs)",16.30,"10603812022313","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2231-6","""No Sugar Added"" Chocolate Truffle Cheesecake - Single Serve (6/cs)",9.00,"20603812022310","2","6 / 4 oz",".14"
,"3"":Individual Pack:2232-1","Lemon Cheesecake - Single Serve",1.50,"603812022323",".25","1 / 4 oz",
,"3"":Individual Pack:2232-12","Lemon Cheesecake - Single Serve (12/cs)",15.38,"10603812022320","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2232-6","Lemon Cheesecake - Single Serve (6/cs)",9.00,"20603812022327","2","6 / 4 oz",".14"
,"3"":Individual Pack:2233-1","Coconut Cheesecake - Single Serve",1.50,"603812022330",".25","1 / 4 oz",
,"3"":Individual Pack:2233-12","Coconut Cheesecake - Single Serve (12/cs)",15.38,"10603812022337","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2233-6","Coconut Cheesecake - Single Serve (6/cs)",9.00,"20603812022334","2","6 / 4 oz",".14"
,"3"":Individual Pack:2234-1","Peppermint Swirl Cheesecake - Single Serve",1.50,"603812022347",".25","1 / 4 oz",
,"3"":Individual Pack:2234-12","Peppermint Swirl Cheesecake - Single Serve (12/cs)",15.38,"10603812022344","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2234-6","Peppermint Swirl Cheesecake - Single Serve (6/cs)",9.00,"20603812022341","2","6 / 4 oz",".14"
,"3"":Individual Pack:2240-1","Hazelnut Mocha Cheesecake - Single Serve",1.50,"603812022408",".25","1 / 4 oz",
,"3"":Individual Pack:2240-12","Hazelnut Mocha Cheesecake - Single Serve (12/cs)",15.38,"10603812022405","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2241-1","New York with Almond Roca Cheesecake - Single Serve",1.50,"603812022415",".25","1 / 4 oz",
,"3"":Individual Pack:2241-12","New York with Almond Roca Cheesecake - Single Serve (12/cs)",15.38,"10603812022412","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2241-6","New York with Almond Roca Cheesecake - Single Serve (6/cs)",9.00,"20603812022419","2","6 / 4 oz",".14"
,"3"":Individual Pack:2242-1","Honey Lavender Cheesecake - Single Serve",1.50,"603812022422",".25","1 / 4 oz",
,"3"":Individual Pack:2242-12","Honey Lavender Cheesecake - Single Serve (12/cs)",15.38,"10603812022429","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2244-1","Caramel Apple Cheesecake - Single Serve",1.50,"603812022446",".25","1 / 4 oz",
,"3"":Individual Pack:2247-1","Huckleberry Cheesecake - Single Serve",1.50,"603812022477",".25","1 / 4 oz",
,"3"":Individual Pack:2247-12","Huckleberry Cheesecake - Single Serve (12/cs)",15.38,"10603812022474","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2247-6","Huckleberry Cheesecake - Single Serve (6/cs)",9.00,"20603812022471","2","6 / 4 oz",".14"
,"3"":Individual Pack:2251-1","New York ""Classic"" Cheesecake - Single Serve",1.50,"603812022514",".25","1 / 4 oz",
,"3"":Individual Pack:2251-12","New York ""Classic"" Cheesecake - Single Serve (12/cs)",15.38,"10603812022511","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2251-6","New York ""Classic"" Cheesecake - Single Serve (6/cs)",9.00,"20603812022518","2","6 / 4 oz",".14"
,"3"":Individual Pack:2280-12","Seasonal Cheesecake Assortment - Single Serve (12/cs)..(3xNY, 2xPU, 3xCT, 1xCOW, 1xEN, 2xSB)",15.88,"10603812022801","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2290-4","Sample Pack - Single Serve (4/cs)",17.00,"10603812022900","1.5","4 / 4 oz",".09"
,"3"":Individual Pack:2291-1","Garlic Jim's Cheesecake - Single Serve",1.50,"603812022910",".25","1 / 4 oz",
,"3"":Individual Pack:2291-12","Garlic Jim's Cheesecake - Single Serve (12/cs)",17.00,"10603812022917","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2292-1","WINCO Assortment Cheesecake - Single Serve",1.50,"603812022927",".25","1 / 4 oz",
,"3"":Individual Pack:2292-12","WINCO Assortment Cheesecake - Single Serve (12/cs)",17.00,"10603812022924","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2293-6","Assorted (NY, CT, VB) Cheesecake - Single Serve (6/cs)",9.00,"20603812022938","2","6 / 4 oz",".14"
,"3"":Individual Pack:2294-12","""Favorites"" Cheesecake Assortment (NY/CT/VB/SB) - Single Serve (12/cs)",17.00,"10603812022948","3.5","12 / 4 oz",".21"
,"3"":Individual Pack:2295-12","""Seasonal"" Cheesecake Assortment (NY/CT/VB/SB) - Single Serve (12/cs)",17.00,"10603812022955","3.5","12 / 4 oz",".21"
,"3"":Individual Pack CDN",,0.00,,,,
,"3"":Individual Pack CDN:2501-1","New York ""Signature"" Cheesecake - Single Serve",1.50,"603812025010",".25","1 / 113 g",
,"3"":Individual Pack CDN:2501-12","New York ""Signature"" Cheesecake - Single Serve (12/cs)",15.38,"10603812025017","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2501-6","New York ""Signature"" Cheesecake - Single Serve (6/cs)",9.00,"20603812025014","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2502-1","Gluten Free New York Cheesecake - Single Serve",1.50,"603812025027",".25","1 / 113 g",
,"3"":Individual Pack CDN:2502-12","Gluten Free New York Cheesecake - Single Serve (12/cs)",16.30,"10603812025024","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2502-6","Gluten Free New York Cheesecake - Single Serve (6/cs)",9.00,"20603812025021","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2508-1","Pumpkin Cheesecake - Single Serve",1.50,"603812025089",".25","1 / 113 g",
,"3"":Individual Pack CDN:2508-12","Pumpkin Cheesecake - Single Serve (12/cs)",15.38,"10603812025086","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2508-6","Pumpkin Cheesecake - Single Serve (6/cs)",9.00,"20603812025083","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2509-1","Very Berry Cheesecake - Single Serve",1.50,"603812025096",".25","1 / 113 g",
,"3"":Individual Pack CDN:2509-12","Very Berry Cheesecake - Single Serve (12/cs)",15.38,"1060381202509","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2517-1","Chocolate Truffle Cheesecake - Single Serve",1.50,"603812025171",".25","1 / 113 g",
,"3"":Individual Pack CDN:2517-12","Chocolate Truffle Cheesecake - Single Serve (12/cs)",15.38,"10603812025178","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2517-6","Chocolate Truffle Cheesecake - Single Serve (6/cs)",9.00,"20603812025175","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2518-1","Egg Nog Cheesecake - Single Serve",1.50,"603812025188",".25","1 / 113 g",
,"3"":Individual Pack CDN:2518-12","Egg Nog Cheesecake - Single Serve (12/cs)",15.38,"10603812025185","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2518-6","Egg Nog Cheesecake - Single Serve (6/cs)",9.00,"20603812025182","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2525-1","Cranberry Orange Walnut Cheesecake - Single Serve",1.50,"603812025256",".25","1 / 113 g",
,"3"":Individual Pack CDN:2525-12","Cranberry Orange Walnut Cheesecake - Single Serve (12/cs)",15.38,"10603812025253","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2525-6","Cranberry Orange Walnut Cheesecake - Single Serve (6/cs)",9.00,"20603812025250","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2530-1","No Sugar Added New York Cheesecake - Single Serve",1.50,"603812025300",".25","1 / 113 g",
,"3"":Individual Pack CDN:2530-12","No Sugar Added New York Cheesecake - Single Serve (12/cs)",16.30,"10603812025307","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2530-6","No Sugar Added New York Cheesecake - Single Serve (6/cs)",9.00,"20603812025304","2","6 / 113 g",".14"
,"3"":Individual Pack CDN:2547-1","Huckleberry Cheesecake - Single Serve",1.50,"603812025478",".25","1 / 113 g",
,"3"":Individual Pack CDN:2547-12","Huckleberry Cheesecake - Single Serve (12/cs)",15.38,"10603812025475","3.5","12 / 113 g",".21"
,"3"":Individual Pack CDN:2547-6","Huckleberry Cheesecake - Single Serve (6/cs)",9.00,"20603812025472","2","6 / 113 g",".14"
,"3"":Retail Pack",,0.00,,,,
,"3"":Retail Pack:2360-1","Single Serve Cheesecake 8 Piece Variety Pack",0.00,"603812023603","2.5","1 / 40 oz",
,"3"":Retail Pack:2360-12","Single Serve Cheesecake 8 Piece Variety Pack (12/cs)",0.00,"20603812023607","31","12 / 40 oz","1.6"
,"3"":Retail Pack:2360-6","Single Serve Cheesecake 8 Piece Variety Pack (6/cs)",0.00,"10603812023600","16","6 / 40 oz",".88"
,"3"":Retail Pack:2361-1","Single Serve Cheesecake 12 Piece Variety Pack",0.00,"603812023610","4","1 / 64 oz",
,"3"":Retail Pack:2361-6","Single Serve Cheesecake 12 Piece Variety Pack (6/cs)",0.00,"10603812023617","25","6 / 64 oz","1.70"
,"3"":Retail Pack:2362-1","Single Serve Gluten Free Cheesecake 8 Piece Variety Pack",0.00,"603812023627","2.5","1 / 40 oz",
,"3"":Retail Pack:2363-1","Single Serve Cheesecake 8 Piece Mix and Match Variety Pack",0.00,"603812023634","2.5","1 / 40 oz",
,"3"":Retail Pack:2364-1","Single Serve Cheesecake 8 Piece Festive Pack",0.00,"603812023641","2.5","1 / 40 oz",
,"3"":Retail Pack:2364-12","Single Serve Cheesecake 8 Piece Festive Pack (12/cs)",0.00,"20603812023645","31","12 / 40 oz","1.6"
,"3"":Retail Pack:2364-6","Single Serve Cheesecake 8 Piece Festive Pack (6/cs)",0.00,"10603812023648","16","6 / 40 oz",".88"
,"3"":Retail Pack:2365-1","Single Serve Cheesecake 4 Piece Variety Pack",0.00,"603812023658","1.5","1 / 24 oz",
,"3"":Retail Pack:2365-12","Single Serve Cheesecake 4 Piece Variety Pack (12/cs)",0.00,"20603812023652","19","12 / 24 oz",".97"
,"3"":Retail Pack:2366-1","Single Serve Cheesecake 6 Piece Variety Pack",0.00,"603812023665","1.5","1 / 24 oz",
,"3"":Retail Pack:2367-1","Single Serve Cheesecake 8 Piece Variety Pack Alison's Pantry",0.00,"603812023672","2.5","1 / 40 oz",
,"3"":Retail Pack:2367-6","Single Serve Cheesecake 8 Piece Variety Pack (6/cs)",0.00,"10603812023679","16","6 / 40 oz","1.30"
,"3"":Sample Pack",,0.00,,,,
,"3"":Sample Pack:2101-72","New York ""Signature"" Cheesecake - 72 piece sample pack",31.50,"20603812021016","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2102-72","Gluten Free New York Cheesecake - 72 piece sample pack",26.10,"20603812021023","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2103-72","White Chocolate Cheesecake - 72 piece sample pack",26.10,"20603812021030","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2108-72","Pumpkin Cheesecake - 72 piece sample pack",31.50,"20603812021085","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2109-72","Very Berry Cheesecake - 72 piece sample pack",31.50,"20603812021092","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2112-72","Key Lime Cheesecake - 72 piece sample pack",31.50,"20603812021122","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2117-72","Chocolate Truffle Cheesecake - 72 piece sample pack",31.50,"20603812021177","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2118-72","EggNog Cheesecake - 72 piece sample pack",31.50,"20603812021184","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2121-72","Strawberry Cheesecake - 72 piece sample pack",31.50,"20603812021214","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2130-72","""No Sugar Added"" New York Cheesecake - 72 piece sample pack",17.00,"20603812021306","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2133-72","Coconut Cheesecake - 72 piece sample pack",31.50,"20603812021337","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2134-72","Peppermint Swirl Cheesecake - 72 piece sample pack",17.00,"20603812021344","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2140-72","Hazelnut Mocha Cheesecake - 72 piece sample pack",31.50,"20603812021405","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2141-72","New York with Almond Roca Cheesecake - 72 piece sample pack",31.50,"20603812021412","4.875","72 / 1 oz",".16"
,"3"":Sample Pack:2142-72","Honey Lavender Cheesecake - 72 piece sample pack",31.50,"20603812021429","4.875","72 / 1 oz",".16"
,"7""",,0.00,,,,
,"7"":24oz",,0.00,,,,
,"7"":24oz:7001-1","7"" New York ""Signature"" Cheesecake",6.00,"603812070010",,"1 / 24 oz",
,"7"":24oz:7001-6","7"" New York ""Signature"" Cheesecake  (6/cs)",33.50,"10603812070017","10.5","6 / 24 oz",
,"7"":24oz:7002-1","7"" Gluten Free New York Cheesecake",6.00,"603812070027",,"1 / 24 oz",
,"7"":24oz:7002-6","7"" Gluten Free New York Cheesecake  (6/cs)",33.50,"10603812070024","10.5","6 / 24 oz",
,"7"":24oz:7003-1","7"" White Chocolate Cheesecake",6.00,"603812070034",,"1 / 24 oz",
,"7"":24oz:7003-6","7"" White Chocolate Cheesecake (6/cs)",36.50,"10603812070031",,"6 / 24 oz",
,"7"":24oz:7008-1","7"" Pumpkin Cheesecake",6.00,"603812070089",,"1 / 24 oz",
,"7"":24oz:7008-6","7"" Pumpkin Cheesecake (6/cs)",38.00,"10603812070086",,"6 / 24 oz",
,"7"":24oz:7009-1","7"" Very Berry Cheesecake",6.00,"603812070096",,"1 / 24 oz",
,"7"":24oz:7009-6","7"" Very Berry Cheesecake (6/cs)",33.50,"10603812070093",,"6 / 24 oz",
,"7"":24oz:7010-1","7"" Cajeta Cheesecake",6.00,"603812070102",,"1 / 24 oz",
,"7"":24oz:7010-6","7"" Cajeta Cheesecake (6/cs)",33.50,"10603812070109",,"6 / 24 oz",
,"7"":24oz:7012-1","7"" Key Lime Cheesecake",6.00,"603812070126",,"1 / 24 oz",
,"7"":24oz:7012-6","7"" Key Lime Cheesecake (6/cs)",33.50,"10603812070123",,"6 / 24 oz",
,"7"":24oz:7016-1","7"" Chocolate (no ganache) Cheesecake",6.00,"603812070164",,"1 / 24 oz",
,"7"":24oz:7016-6","7"" Chocolate (no ganache) Cheesecake (6/cs)",36.50,"10603812070161",,"6 / 24 oz",
,"7"":24oz:7017-1","7"" Chocolate Truffle Cheesecake",6.00,"603812070171",,"1 / 24 oz",
,"7"":24oz:7017-6","7"" Chocolate Truffle Cheesecake (6/cs)",36.50,"10603812070178",,"6 / 24 oz",
,"7"":24oz:7018-1","7"" EggNog Cheesecake",6.00,"603812070188",,"1 / 24 oz",
,"7"":24oz:7018-6","7"" EggNog Cheesecake (6/cs)",41.00,"10603812070185",,"6 / 24 oz",
,"7"":24oz:7021-1","7"" Strawberry Cheesecake",6.00,"603812070218",,"1 / 24 oz",
,"7"":24oz:7021-6","7"" Strawberry Cheesecake (6/cs)",41.00,"10603812070215",,"6 / 24 oz",
,"7"":24oz:7023-1","7"" Espresso Cheesecake",6.00,"603812070232",,"1 / 24 oz",
,"7"":24oz:7023-6","7"" Espresso Cheesecake (6/cs)",36.50,"10603812070239","10.5","6 / 24 oz",".68"
,"7"":24oz:7025-1","7"" Cranberry Orange Walnut Cheesecake",6.00,"603812070256",,"1 / 24 oz",
,"7"":24oz:7025-6","7"" Cranberry Orange Walnut Cheesecake (6/cs)",41.00,"10603812070253",,"6 / 24 oz",
,"7"":24oz:7030-1","7"" ""No Sugar Added"" New York Cheesecake",6.00,"603812070300",,"1 / 24 oz",
,"7"":24oz:7030-6","7"" ""No Sugar Added"" New York Cheesecake (6/cs)",38.00,"10603812070307",,"6 / 24 oz",
,"7"":24oz:7033-1","7"" Coconut Cheesecake",6.00,"603812070331",,"1 / 24 oz",
,"7"":24oz:7033-6","7"" Coconut Cheesecake (6/cs)",36.50,"10603812070338","10.5","6 / 24 oz",".68"
,"7"":24oz:7034-1","7"" Peppermint Swirl Cheesecake",6.00,"603812070348",,"1 / 24 oz",
,"7"":24oz:7034-6","7"" Peppermint Swirl Cheesecake (6/cs)",36.50,"10603812070345","10.5","6 / 24 oz",".68"
,"7"":24oz:7040-1","7"" Hazelnut Mocha Cheesecake",6.00,"603812070409",,"1 / 24 oz",
,"7"":24oz:7040-6","7"" Hazelnut Mocha Cheesecake (6/cs)",36.50,"10603812070406","10.5","6 / 24 oz",".68"
,"7"":24oz:7041-1","7"" New York with Almond Roca Cheesecake",6.00,"603812070416",,"1 / 24 oz",
,"7"":24oz:7041-6","7"" New York with Almond Roca Cheesecake (6/cs)",36.50,"10603812070413","10.5","6 / 24 oz",".68"
,"7"":24oz:7042-1","7"" Lavender Honey Cheesecake",6.00,"603812070423",,"1 / 24 oz",
,"7"":24oz:7042-6","7"" Lavender Honey Cheesecake (6/cs)",36.50,"10603812070420","10.5","6 / 24 oz",".68"
,"7"":24oz:7043-1","7"" Festive Four Cheesecake Assortment",6.00,"603812070430",,"1 / 24 oz",
,"7"":24oz:7043-6","7"" Festive Four Cheesecake Assortment (6/cs)",36.50,"10603812070437","10.5","6 / 24 oz",".68"
,"7"":24oz:7044-1","7"" Caramel Apple Cheesecake",6.00,"603812070447",,"1 / 24 oz",
,"7"":24oz:7044-6","7"" Caramel Apple Cheesecake (6/cs)",36.50,"10603812070444","10.5","6 / 24 oz",".68"
,"7"":24oz:7100","BRAVO Cakes",5.16,,,,
,"7"":32 oz",,0.00,,,,
,"7"":32 oz:27001-1","7"" New York ""Signature"" Cheesecake",9.00,"603812270014",,"1 / 32 oz",
,"7"":32 oz:27001-6","7"" New York ""Signature"" Cheesecake (6/cs)",36.90,"10603812270011","13.5","6 / 32 oz",".75"
,"7"":32 oz:27002-1","7"" Gluten Free New York Cheesecake",9.00,"603812270021",,"1 / 32 oz",
,"7"":32 oz:27002-6","7"" Gluten Free New York Cheesecake (6/cs)",39.12,"10603812270028","13.5","6 / 32 oz",".75"
,"7"":32 oz:27003-1","7"" White Chocolate Raspberry Cheesecake",9.50,"603812270038",,"1 / 32 oz",
,"7"":32 oz:27003-6","7"" White Chocolate Raspberry Cheesecake (6/cs)",36.90,"10603812270035","13.5","6 / 32 oz",".75"
,"7"":32 oz:27004-1","7"" Gluten Free Chocolate Truffle Cheesecake",9.50,"603812270045",,"1 / 32 oz",
,"7"":32 oz:27004-6","7"" Gluten Free Chocolate Truffle Cheesecake (6/cs)",39.12,"10603812270042","13.5","6 / 32 oz",".75"
,"7"":32 oz:27005-1","7"" Gluten Free Tuxedo Cheesecake",9.50,"603812270052",,"1 / 32 oz",
,"7"":32 oz:27005-6","7"" Gluten Free Tuxedo Cheesecake (6/cs)",39.12,"10603812270059","13.5","6 / 32 oz",".75"
,"7"":32 oz:27006-1","7"" Gluten Free Pumpkin Cheesecake",9.50,"603812270069",,"1 / 32 oz",
,"7"":32 oz:27006-6","7"" Gluten Free Pumpkin Cheesecake (6/cs)",39.12,"10603812270066","13.5","6 / 32 oz",".75"
,"7"":32 oz:27007-1","7"" Irish Cream Cheesecake",9.50,"603812270076",,"1 / 32 oz",
,"7"":32 oz:27007-6","7"" Irish Cream Cheesecake (6/cs)",36.90,"10603812270075","13.5","6 / 32 oz",".75"
,"7"":32 oz:27008-1","7"" Pumpkin Cheesecake",9.50,"603812270083",,"1 / 32 oz",
,"7"":32 oz:27008-6","7"" Pumpkin Cheesecake (6/cs)",36.90,"10603812270080","13.5","6 / 32 oz",".75"
,"7"":32 oz:27009-1","7"" Very Berry Cheesecake",9.50,"603812270090",,"1 / 32 oz",
,"7"":32 oz:27009-6","7"" Very Berry Cheesecake (6/cs)",36.90,"10603812270097","13.5","6 / 32 oz",".75"
,"7"":32 oz:27010-1","7"" Cajeta Cheesecake",9.50,"603812270106",,"1 / 32 oz",
,"7"":32 oz:27010-6","7"" Cajeta Cheesecake (6/cs)",36.90,"10603812270103","13.5","6 / 32 oz",".75"
,"7"":32 oz:27012-1","7"" Key Lime Cheesecake",9.50,"603812270120",,"1 / 32 oz",
,"7"":32 oz:27012-6","7"" Key Lime Cheesecake (6/cs)",36.90,"10603812270127","13.5","6 / 32 oz",".75"
,"7"":32 oz:27017-1","7"" Chocolate Truffle Cheesecake",9.50,"603812270175",,"1 / 32 oz",
,"7"":32 oz:27017-6","7"" Chocolate Truffle Cheesecake (6/cs)",36.90,"10603812270172","13.5","6 / 32 oz",".75"
,"7"":32 oz:27018-1","7"" Egg Nog Cheesecake",9.50,"603812270182",,"1 / 32 oz",
,"7"":32 oz:27018-6","7"" Egg Nog Cheesecake (6/cs)",36.90,"10603812270189","13.5","6 / 32 oz",".75"
,"7"":32 oz:27019-1","7"" Tuxedo Cheesecake",9.50,"603812270199",,"1 / 32 oz",
,"7"":32 oz:27019-6","7"" Tuxedo Cheesecake (6/cs)",39.12,"10603812270196","13.5","6 / 32 oz",".75"
,"7"":32 oz:27021-1","7"" Strawberry Cheesecake",9.50,"603812270212",,"1 / 32 oz",
,"7"":32 oz:27021-6","7"" Strawberry Cheesecake (6/cs)",36.90,"10603812270219","13.5","6 / 32 oz",".75"
,"7"":32 oz:27023-1","7"" Espresso Cheesecake",9.50,"603812270236",,"1 / 32 oz",
,"7"":32 oz:27023-6","7"" Espresso Cheesecake (6/cs)",36.90,"10603812270233","13.5","6 / 32 oz",".75"
,"7"":32 oz:27025-1","7"" Cranberry Orange Walnut Cheesecake",9.50,"603812270250",,"1 / 32 oz",
,"7"":32 oz:27025-6","7"" Cranberry Orange Walnut Cheesecake (6/cs)",36.90,"10603812270257","13.5","6 / 32 oz",".75"
,"7"":32 oz:27029-1","7"" Turtle Cheesecake",9.50,"603812270298",,"1 / 32 oz",
,"7"":32 oz:27029-6","7"" Turtle Cheesecake (6/cs)",36.90,"10603812270295","13.5","6 / 32 oz",".75"
,"7"":32 oz:27030-1","7"" ""No Sugar Added"" New York Cheesecake",9.50,"603812270304",,"1 / 32 oz",
,"7"":32 oz:27030-6","7"" ""No Sugar Added"" New York Cheesecake (6/cs)",39.12,"10603812270301","13.5","6 / 32 oz",".75"
,"7"":32 oz:27031-1","7"" ""No Sugar Added"" Chocolate Truffle Cheesecake",9.50,"603812270311",,"1 / 32 oz",
